POW,POW_original,Action,Action2,Responsible,Relationship,Topic,Cluster,Notes,Source URL
NGO,Friends of the Earth,The Government must fund a scrappage scheme to get rid of the dirtiest diesels (which may include some recent diesels if measured in terms of real-world emissions).,Remove polluting vehicles,Central Government,Challenge,Scrappage,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,Offer alternatives such as car club membership and rail season tickets.,Behaviour change,Central Government,Challenge,Car share,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,The scheme should be funded at least in part by manufacturers whose vehicle emissions under real-world driving conditions are many times the levels measured in official tests.,Tax polluting vehicles,Central Government,Challenge,Regulate vehicles; tax diesel,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,Diesel must be phased out across the UK by 2025; petrol and other internal combustion engines must also be phased out as fast as possible. The Plan [red. The Air Quality Plan] must show how this will be achieved.,Remove polluting vehicles,Central Government,Expedite or expand,Reduce reliance on diesel,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,"It is technically and commercially feasible to replace most private fossil-fuelled vehicles with electric vehicles by 2025. However, new infrastructure, such as plug-in points on streets, is needed to ensure this happens.",Support transition to electric and low-emission vehicles,Central Government,Expedite or expand,Electric vehicles,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,"[red. Clear Air Act must] set out the national framework for Clean Air Zones, which phase out diesel and accelerate the shift to zero emission transport.",Regulate space,Central Government,Challenge,Clean Air Zones,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,"The Government must help steer investment and policy development towards cutting traffic and in favour of walking, cycling and better and more affordable public transport.",Promote behaviour change,Central Government,?,Modal shift,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
Activist,Healthy Air,"The draft plans will have to be revised to include measures for reducing air pollution without relying on ineffective Euro Standards, to prevent any delays in complying with legal limits in the UK.",Regulate vehicles,Central Government,Challenge,Euro standards,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Healthy Air,We would also urge the UK Government to continue to work with other member states to renegotiate the package to keep the current emissions limits for Euro 6 and introduce RDE testing in as short a time as possible.,Regulate vehicles,Central Government,Agree,Euro standards,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Healthy Air,"Any action to restrict or discourage the use of motor vehicles needs to be supported by improvements in public transport, walking and cycling infrastructure.",Parking and traffic management,Central Government,?,Modal shift,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Healthy Air,"Implementing 20mph limits in residential areas, which encourage walking and cycling.",Parking and traffic management,Central Government,Challenge,Reduce emissions; modal shift,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Healthy Air,"The Healthy Air Campaign would like to see a firm commitment by the UK Government to delivering a network of CAZs covering the major urban centres across the UK in as shorter time as possible, in collaboration with the respective local authorities. The CAZs should address the urgent need to meet legal limits for NO2 but also provide a path towards more ambitious national air quality objectives for all pollutants.",Regulate space,Central Government,Expedite or expand,Clean Air Zones,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Healthy Air,"In order to drive a dramatic decrease in the use of diesel, the UK Government needs to address perverse fiscal measures through Vehicle Excise Duty, fuel duty and company car tax that encourage the use of diesel vehicles.",Tax polluting vehicles,Central Government,Challenge,Tax diesel,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Clean Air in London,I will introduce a default 20mph speed limit in all residential streets across London to reduce accidents and NOx emissions,Parking and traffic management,Greater London Authority,Challenge,Reduce emissions,,,https://www.documents.clientearth.org/wp-content/uploads/library/2015-11-06-defra-draft-air-quality-plans-consultation-2015-healthy-air-campaign-response-hac-en.pdf
Activist,Clean Air in London,I will invest heavily in active travel ,Promote behaviour change; parking and traffic management,Greater London Authority,Expedite or expand,Modal shift,,,https://cleanair.london/clean-air-manifesto-2016/
Activist,Clean Air in London,I will ban diesel from the most polluted places as we banned coal burning so successfully 60 years ago. I will do this through Emissions-Based Road Charging (EBRC) including payments to walkers and cyclists,Remove polluting vehicles,Greater London Authority,Challenge,Reduce reliance on diesel,,,https://cleanair.london/clean-air-manifesto-2016/
NGO,IPPR,"The dates for the EU's proposed real world emissions tests could be brought forward,
encouraging car manufacturers to either deliver on their promise of
‘clean diesel’ or shift production (and sales) towards alternative petrol,
electric or hybrid alternatives. ",Regulate vehicles,European Commission,Expedite or expand,Euro standards; regulate vehicles; reduce reliance on diesel; low-emission vehicles; electric vehicles,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,"The introduction of an expanded ULEZ across the whole of inner London (bounded by the north and south circular roads), potentially by 2019.",Regulate space,Greater London Authority,Expedite or expand,Ultra-low emission zone,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,"expansion of car sharing schemes across
London",Promote behaviour change,Greater London Authority,Expedite or expand,Car share,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,"acceleration of the electric vehicle charging network,",Support transition to electric and low-emission vehicles,Greater London Authority,Expedite or expand,Electric vehicles,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,further investment in new walkways and cycle super-highways,Parking and traffic management,Greater London Authority,Expedite or expand,Modal shift,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
Transport Providers,Transport for London,Newly registered taxis will be Zero Emissions Capable and none will be diesel from 1 January 2018,Remove polluting vehicles,Greater London Authority,Action,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
Devolved Government,Mayor of London,Remove higher rate excise duty on taxis.,Tax polluting vehicles,Central Government,Challenge,Taxis,,,https://www.london.gov.uk/sites/default/files/london_environment_strategy-_draft_for_public_consultation.pdf
Devolved Government,Mayor of London,All taxis and private hire vehicles will be zero emission capable by 2033,Remove polluting vehicles,Greater London Authority,Objective,Taxis,,,https://www.london.gov.uk/sites/default/files/london_environment_strategy-_draft_for_public_consultation.pdf
Devolved Government,Mayor of London,Deliver a rapid charging network from 2017.,Support transition to electric and low-emission vehicles,Greater London Authority,Action,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
Devolved Government,Mayor of London,Introduce a scrappage scheme for the oldest taxis from 2017,Remove polluting vehicles,Greater London Authority,Action,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
Devolved Government,Mayor of London,Explore options to convert taxis and private hire vehicles to cleaner fuels.,Support transition to electric and low-emission vehicles,Greater London Authority,Action,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
Devolved Government,Mayor of London,Rewarding drivers who pioneer green technology by offering exclusive access to certain facilities.,Support transition to electric and low-emission vehicles,Greater London Authority,Action,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
Devolved Government,Mayor of London,Jointly explore areas within local authorites where taxis and other vehicles must operate in zero emission mode,Regulate space,Local Government,Cooperation,Taxis,,,http://content.tfl.gov.uk/taxi-and-private-hire-action-plan-2016.pdf
